ENDEREÇO GOOGLE MAPS,GPS,ALIMENTADOR,GPS - FUSIVEL
FVJ0940,"https://www.google.com/maps/place/-7.38460528, -40.18123197",ARP01M1,"-7.38460528, -40.18123197"
FVJ0943,"https://www.google.com/maps/place/-7.34451803, -40.21005926",ARP01M1,"-7.34451803, -40.21005926"
FVJ0947,"https://www.google.com/maps/place/-7.34466874, -40.24096752",ARP01M1,"-7.34466874, -40.24096752"
FVJ0969,"https://www.google.com/maps/place/-7.20879981, -40.13468481",ARP01M1,"-7.20879981, -40.13468481"
FVJ0971,"https://www.google.com/maps/place/-7.21518077, -40.1363761",ARP01M1,"-7.21518077, -40.1363761"
FVJ0973,"https://www.google.com/maps/place/-7.33007803, -40.24862659",ARP01M1,"-7.33007803, -40.24862659"
FVJ0976,"https://www.google.com/maps/place/-7.20716914, -40.19950361",ARP01M1,"-7.20716914, -40.19950361"
FVJ1026,"https://www.google.com/maps/place/-7.36355671, -40.23930783",ARP01M1,"-7.36355671, -40.23930783"
FVJ1147,"https://www.google.com/maps/place/-7.20941458, -40.1347769",ARP01M1,"-7.20941458, -40.1347769"
FVJ1149,"https://www.google.com/maps/place/-7.20969477, -40.13485004",ARP01M1,"-7.20969477, -40.13485004"
FVJ1151,"https://www.google.com/maps/place/-7.20997495, -40.13492319",ARP01M1,"-7.20997495, -40.13492319"
FVJ1165,"https://www.google.com/maps/place/-7.21245024, -40.13241172",ARP01M1,"-7.21245024, -40.13241172"
FVJ1197,"https://www.google.com/maps/place/-7.18923525, -40.21655332",ARP01M1,"-7.18923525, -40.21655332"
FVJ1199,"https://www.google.com/maps/place/-7.19166168, -40.22234626",ARP01M1,"-7.19166168, -40.22234626"
FVJ1203,"https://www.google.com/maps/place/-7.18668101, -40.21800446",ARP01M1,"-7.18668101, -40.21800446"
